X,Y,Z,Name,LONG,LAT,TAG
-71.018626,7.05568799999999,0,Q2GFD034,-71.0186,7.05569,Q2GFD034
-71.019485,7.05496900000001,0,Q2GFD033,-71.0195,7.05497,Q2GFD033
-71.020315,7.05426000000002,0,Q2GFD032,-71.0203,7.05426,Q2GFD032
-71.021038,7.05363199999998,0,Q2GFD031,-71.021,7.05363,Q2GFD031
-71.021854,7.05297500000001,0,Q2GFD030,-71.0219,7.05297,Q2GFD030
-71.022788,7.05216999999999,0,Q2GFD029,-71.0228,7.05217,Q2GFD029
-71.023626,7.05144800000001,0,Q2GFD028,-71.0236,7.05145,Q2GFD028
-71.024453,7.05073800000001,0,Q2GFD027,-71.0245,7.05074,Q2GFD027
-71.02514,7.04988599999998,0,Q2GFD026,-71.0251,7.04989,Q2GFD026
-71.025785,7.04905,0,Q2GFD025,-71.0258,7.04905,Q2GFD025
-71.026448,7.04818599999997,0,Q2GFD024,-71.0264,7.04819,Q2GFD024
-71.027118,7.04733200000002,0,Q2GFD023,-71.0271,7.04733,Q2GFD023
-71.027778,7.04647900000002,0,Q2GFD022,-71.0278,7.04648,Q2GFD022
-71.02844,7.045544,0,Q2GFD021,-71.0284,7.04554,Q2GFD021
-71.029102,7.04469400000001,0,Q2GFD020,-71.0291,7.04469,Q2GFD020
-71.0292998,7.04487710000001,0,Q2GFD019,-71.0293,7.04488,Q2GFD019
-71.029998,7.043906,0,Q2GFD018,-71.03,7.04391,Q2GFD018
-71.030384,7.04331200000001,0,Q2GFD017,-71.0304,7.04331,Q2GFD017
-71.030921,7.04264200000001,0,Q2GFD016,-71.0309,7.04264,Q2GFD016
-71.031572,7.04215099999999,0,Q2GFD015,-71.0316,7.04215,Q2GFD015
-71.032502,7.04159200000003,0,Q2GFD014,-71.0325,7.04159,Q2GFD014
-71.033415,7.040929,0,Q2GFD013,-71.0334,7.04093,Q2GFD013
-71.034363,7.04035099999998,0,Q2GFD012,-71.0344,7.04035,Q2GFD012
-71.035274,7.03973999999999,0,Q2GFD011,-71.0353,7.03974,Q2GFD011
-71.036173,7.039147,0,Q2GFD010,-71.0362,7.03915,Q2GFD010
-71.037137,7.03860199999999,0,Q2GFD009,-71.0371,7.0386,Q2GFD009
-71.038043,7.037991,0,Q2GFD008,-71.038,7.03799,Q2GFD008
-71.038963,7.03741100000001,0,Q2GFD007,-71.039,7.03741,Q2GFD007
-71.039916,7.03682800000001,0,Q2GFD006,-71.0399,7.03683,Q2GFD006
-71.040813,7.03622000000003,0,Q2GFD005,-71.0408,7.03622,Q2GFD005
-71.041268,7.03598800000002,0,Q2GFD004,-71.0413,7.03599,Q2GFD004
-71.041731,7.035638,0,Q2GDF003,-71.0417,7.03564,Q2GDF003
-71.042608,7.03501099999999,0,Q2GFD002,-71.0426,7.03501,Q2GFD002
-71.043329,7.03483899999999,0,Q2GFD001,-71.0433,7.03484,Q2GFD001
-71.044063,7.03472199999998,0,Q2GFD000,-71.0441,7.03472,Q2GFD000
